
CREATE TABLE `item` (
  `item_id` char(6) NOT NULL COMMENT '종목ID',
  `item_name` varchar(50) DEFAULT NULL COMMENT '종목명',
  PRIMARY KEY (`item_id`)
) ENGINE=MyISAM DEFAULT CHARSET=utf8mb4;

CREATE TABLE `item_price` (
  `item_id` char(6) NOT NULL COMMENT '종목ID',
  `deal_date` varchar(10) NOT NULL COMMENT '거래일',
  `price_open` int(11) DEFAULT NULL COMMENT '시가',
  `price_high` int(11) DEFAULT NULL COMMENT '고가',
  `price_low` int(11) DEFAULT NULL COMMENT '저가',
  `price_close` int(11) DEFAULT NULL COMMENT '종가',
  `price_avg5` double(11,3) DEFAULT NULL COMMENT '가격이동평균(5일)',
  `price_avg10` double(11,3) DEFAULT NULL COMMENT '가격이동평균(10일)',
  `price_avg20` double(11,3) DEFAULT NULL COMMENT '가격이동평균(20일)',
  `price_avg60` double(11,3) DEFAULT NULL COMMENT '가격이동평균(60일)',
  `price_avg_120` double(11,3) DEFAULT NULL COMMENT '가격이동평균(120일)',
  `volume` double(11,3) DEFAULT NULL COMMENT '거래량',
  `volume_avg5` double(11,3) DEFAULT NULL COMMENT '거래량이동평균(5일)',
  `volume_avg20` double(11,3) DEFAULT NULL COMMENT '거래량이동평균(20일)',
  `volume_avg60` double(11,3) DEFAULT NULL COMMENT '거래량이동평균(60일)',
  `volume_avg120` double(11,3) DEFAULT NULL COMMENT '거래량이동평균(120일)',
  PRIMARY KEY (`item_id`,`deal_date`)
) ENGINE=MyISAM DEFAULT CHARSET=utf8mb4;


/*
-- Query: SELECT * FROM stock.item
LIMIT 0, 1000

-- Date: 2020-01-31 17:46
*/
INSERT INTO `item` (`item_id`,`item_name`) VALUES ('028300','에이치엘비')
, ('032500','케이엠더블유')
, ('034230','파라다이스')
, ('035760','CJ ENM')
, ('036830','솔브레인')
, ('039030','이오테크닉스')
, ('056190','에스에프에이')
, ('058470','리노공업')
, ('068760','셀트리온제약')
, ('078340','컴투스')
, ('082270','젬백스')
, ('084990','헬릭스미스')
, ('086900','메디톡스')
, ('091990','셀트리온헬스케어')
, ('095700','제넥신')
, ('098460','고영')
, ('140410','메지온')
, ('145020','휴젤')
, ('253450','스튜디오드래곤')
, ('263750','펄어비스');


/*
-- Query: SELECT * FROM stock.item_price
LIMIT 0, 50000

-- Date: 2020-01-31 17:49
*/

INSERT INTO `item_price` (`item_id`,`deal_date`,`price_open`,`price_high`,`price_low`,`price_close`,`price_avg5`,`price_avg10`,`price_avg20`,`price_avg60`,`price_avg_120`,`volume`,`volume_avg5`,`volume_avg20`,`volume_avg60`,`volume_avg120`) 
VALUES ('028300','20200131',96200,98200,93200,95700,99220.000,102470.000,106390.000,116096.667,95425.833,512090.000,883899.400,1064571.950,1584496.000,2055510.092)
,('028300','20200130',99200,100700,95900,96500,101040.000,104240.000,107350.000,117298.333,94855.833,807600.000,857845.200,1150697.950,1604276.667,2070935.108)
,('028300','20200129',102300,103100,99800,99800,102220.000,105790.000,107875.000,118490.000,94263.750,733209.000,818425.600,1266490.800,1636994.983,2074174.875)
,('028300','20200128',96000,112700,96000,101500,103260.000,107010.000,107935.000,119660.000,93658.333,1975754.000,768234.000,1345003.450,1713684.950,2089798.875)
,('028300','20200123',104800,104800,101500,102600,104440.000,108120.000,107865.000,120650.000,93011.667,390844.000,506454.800,1325851.550,1800984.333,2095257.325)
,('028300','20200122',101500,104800,101200,104800,105720.000,109110.000,108150.000,121123.333,92397.500,381819.000,788956.800,1480638.950,1898249.700,2097166.967)
,('028300','20200121',103300,105000,102300,102400,107440.000,108840.000,108020.000,121966.667,91775.417,610502.000,849859.200,1564039.750,1985269.933,2097476.833)
,('028300','20200120',107500,108700,105000,105000,109360.000,109540.000,107845.000,123343.333,91180.833,482251.000,895723.400,1570305.400,2066856.967,2096034.133)
,('028300','20200117',109200,110800,106900,107400,110760.000,109670.000,107545.000,124606.667,90565.000,666858.000,898414.400,1586354.400,2058819.450,2096574.717)
,('028300','20200116',106100,113000,106000,109000,111800.000,109780.000,107155.000,125830.000,89928.333,1803354.000,958736.400,1602127.900,2150905.450,2097712.542)
,('028300','20200115',112100,114300,111100,113400,112500.000,110310.000,106625.000,126810.000,89291.250,686331.000,947676.600,1537088.700,2204893.633,2086115.750)
,('028300','20200114',112200,116300,110800,112000,110240.000,110460.000,105865.000,127071.667,88619.583,839823.000,1186990.600,1553206.150,2215496.100,2087528.692)
,('028300','20200113',112500,113800,110500,112000,109720.000,109960.000,105240.000,127331.667,87960.833,495706.000,1216181.000,1572347.250,2216322.550,2107796.608)
,('028300','20200110',114600,114700,109200,112600,108580.000,108860.000,104480.000,127596.667,87286.250,968468.000,1589345.800,1602729.650,2245129.000,2111429.550)
,('028300','20200109',108100,113300,106400,112500,107760.000,107610.000,103940.000,127760.000,86601.250,1748055.000,1748100.600,1628528.200,2246297.633,2112187.492)
,('028300','20200108',107300,108700,101500,102100,108120.000,107190.000,103185.000,127923.333,85924.167,1882901.000,1637755.000,1657725.300,2261734.483,2103307.192)
,('028300','20200107',107500,111100,106100,109400,110680.000,107200.000,103005.000,128063.333,85342.917,985775.000,1708096.800,1654722.700,2257817.917,2096807.208)
,('028300','20200106',104300,115300,103200,106300,110200.000,106150.000,102435.000,128115.000,84703.333,2361530.000,2135633.200,1747630.000,2272773.933,2106546.050)
,('028300','20200103',115000,115100,107000,108500,109140.000,105420.000,102775.000,128160.000,84087.500,1762242.000,2124019.600,1764036.400,2335598.933,2102506.908)
,('028300','20200102',117000,117300,113200,114300,107460.000,104530.000,102570.000,128166.667,83457.083,1196327.000,2090114.400,1799634.750,2404145.217,2105497.158)
,('028300','20191230',106500,116200,106000,114900,106260.000,102940.000,102645.000,127695.000,82806.250,2234610.000,2548167.400,1824021.450,2472745.200,2106219.225)
,('028300','20191227',103500,110400,102600,107000,103720.000,101270.000,102655.000,126948.333,82159.167,3123457.000,2511212.400,1832104.700,2480078.750,2103245.358)
,('028300','20191226',99800,101600,98300,101000,102100.000,100520.000,103410.000,126315.000,81567.500,2303462.000,2033684.000,1744128.350,2552469.450,2090370.492)
,('028300','20191224',108900,109100,100100,100100,101700.000,100100.000,104955.000,125638.333,81041.667,1592716.000,1733637.800,1679657.100,2568762.700,2093601.933)
,('028300','20191223',104000,114800,103000,108300,101600.000,100270.000,106665.000,124745.000,80516.250,3486592.000,1611560.200,1666943.550,2561239.950,2136809.683)
,('028300','20191220',99000,102900,98500,102200,99620.000,99180.000,107775.000,123705.833,79933.333,2049835.000,1014755.800,1562923.950,2520516.017,2324638.375)
,('028300','20191219',100000,100900,98400,98900,98820.000,98810.000,108920.000,122752.500,79375.833,735815.000,806524.800,1559472.900,2502210.617,2310243.733)
,('028300','20191218',100100,100500,97400,99000,98940.000,98720.000,110520.000,121863.333,78971.667,803231.000,903890.800,1570844.800,2505101.283,2327882.967)
,('028300','20191217',99800,102000,98600,99600,98500.000,100130.000,112395.000,121002.500,78746.667,982328.000,963915.400,1596589.400,2522393.233,2329879.400)
,('028300','20191216',98300,100000,97400,98400,98940.000,100610.000,114230.000,120075.833,78535.000,502570.000,1064337.600,1645580.550,2518692.450,2327072.775)
,('028300','20191213',100900,102500,96800,98200,98740.000,102350.000,116700.000,119198.333,78306.667,1008680.000,1430223.000,1692353.100,2518146.100,2325239.392)
,('028300','20191212',97200,99900,94000,99500,98800.000,104040.000,119105.000,118331.667,78072.500,1222645.000,1593056.800,1744549.100,2512107.417,2319005.158)
,('028300','20191211',101500,102700,96700,96800,98500.000,106300.000,120995.000,117466.667,77835.833,1103354.000,1917312.000,1734457.800,2510234.183,2316202.625)
,('028300','20191210',97200,101800,95500,101800,101760.000,109810.000,123080.000,116626.667,77615.000,1484439.000,2234572.800,1716303.550,2507086.600,2310599.908)
,('028300','20191209',99000,101300,91900,97400,102280.000,113060.000,125100.000,115695.000,77363.333,2331997.000,2432526.800,1723469.400,2498237.750,2306650.758)
,('028300','20191206',95600,102700,95100,98500,105960.000,116370.000,127200.000,114817.500,77186.667,1822849.000,2302939.600,1688299.850,2474789.067,2295989.792)
,('028300','20191205',112100,112200,98000,98000,109280.000,119030.000,129665.000,113968.333,76963.333,2843921.000,2417624.800,1662988.400,2453842.883,2290324.400)
,('028300','20191204',103000,113100,100900,113100,114100.000,122320.000,132340.000,113135.000,76750.000,2689658.000,2121626.600,1823756.200,2419426.967,2269952.950)
,('028300','20191203',113300,115900,103500,104400,117860.000,124660.000,133590.000,112050.000,76404.167,2474209.000,1786502.400,1878736.750,2390146.700,2249182.083)
,('028300','20191202',115700,118200,111200,115800,123840.000,127850.000,136425.000,111110.000,76142.500,1684061.000,1559349.600,1880004.700,2370580.483,2230360.817)
,('028300','20191129',121500,124300,113100,115100,126780.000,131050.000,139255.000,109955.000,75785.833,2396275.000,1503777.400,1864894.600,2376726.967,2217841.733)
,('028300','20191128',128400,131200,122100,122100,128780.000,134170.000,141890.000,108830.000,75430.833,1363930.000,1420685.200,1830027.350,2393297.333,2199276.975)
,('028300','20191127',134500,135600,128000,131900,130540.000,135690.000,144185.000,107499.167,75023.333,1014037.000,1340549.800,1900365.800,2385965.117,2190439.542)
,('028300','20191126',138900,141800,132200,134300,131460.000,136350.000,146090.000,105995.000,74541.667,1338445.000,1401367.000,2116394.300,2386610.983,2184233.825)
,('028300','20191125',127700,135300,124100,130500,131860.000,137140.000,147420.000,104447.500,74028.333,1406200.000,1526108.200,2410157.900,2389303.600,2175506.742)
,('028300','20191122',129300,131900,120900,125100,135320.000,138030.000,147445.000,102952.500,73525.833,1980814.000,1532472.400,2651186.200,2387605.650,2167426.558)
,('028300','20191121',136500,137700,129800,130900,139560.000,140300.000,148960.000,101529.167,73047.500,963253.000,1546829.600,2832297.150,2412472.517,2154943.550)
,('028300','20191120',132000,143200,131000,136500,140840.000,142360.000,151665.000,100014.167,72538.333,1318123.000,1558342.800,3059420.700,2459087.700,2149708.767)
,('028300','20191119',145000,145700,134300,136300,141240.000,142520.000,153880.000,98423.333,72005.833,1962151.000,1442772.000,2993514.550,2511034.283,2141293.558)
,('028300','20191118',146400,153400,142800,147800,142420.000,145000.000,156105.000,96700.833,71468.333,1438021.000,1375893.000,3205007.900,2495533.583,2127480.375)
,('028300','20191115',137600,151000,135400,146300,140740.000,147460.000,157105.000,94788.333,70825.833,2052600.000,1414010.000,3385239.100,2498335.717,2121116.025)
,('028300','20191114',138400,140300,133700,137300,141040.000,149610.000,156245.000,92903.333,70217.500,1020819.000,1266814.000,3348733.050,2488252.950,2106043.325)
,('028300','20191113',138700,143600,138300,138500,143880.000,152680.000,155760.000,91159.167,69684.167,740269.000,2274505.600,3342162.600,2537307.267,2099102.092)
,('028300','20191112',136000,146100,131800,142200,143800.000,155830.000,155230.000,89323.333,69133.333,1627756.000,2884305.600,3416353.800,2562686.433,2096041.633)
